Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Radicle Impact Partners,http://www.radicleimpact.com/,,,,,VC,,
Radna Intellectual Ventures,http://www.radnaindustries.com/,USA,USA,2. Prototype,,VC,,
Raffay Ventures,https://raffay.com/,,,,,Other,,
Rainbow Medical,http://www.rainbowmd.com/,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
Raine Group,https://raine.com/,,,,,Other,,
Rainmaking,http://www.rainmaking.io/,,,,,Other,,
Raise Ventures,https://www.raise.co/,"138 bis, rue de Grenelle 75007 Paris, France","France,UK,Germany,Austria,Belgium,Denmark,Italy,Spain","3. Early Revenue,4. Scaling","We invest in growing innovative technological companies from Seed to Series B (lead or co-lead). 

We are generalists but opportunists. We invested in varied sectors and business models:(i) the B2C marketplace Bergamotte that digitalized the offer to deliver flowers, (ii) in the B2B fintech Mooncard that offers a solution for B2B expenses account or (iii) in the Saas solution Livestorm, the competitor of Zoom for visioconference and webinars.",VC,$500000,$7000000
Rakuten Capital,https://capital.rakuten.com/,"Setagaya, Tokyo, Japan",Japan,,,Corporate VC,,
Random Forest VC,https://www.randomforestvc.com/,"35 Ahad Ha'Am St , Tel Aviv, Israel 6520206, IL",Israel,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in market disruptive ventures, based on cutting-edge Machine Learning and Artificial Intelligence technologies.",VC,$300000,$700000
Randstad Innovation Fund,http://www.randstadinnovationfund.com,"Amsterdam, Noord-Holland, The Netherlands",Netherlands,,,Corporate VC,,
Raptor Group,http://www.raptorgroup.com/,,,,,VC,,
RareBreed Ventures,https://www.rarebreed.vc/,"Baltimore, Maryland, USA",USA,"3. Early Revenue,2. Prototype,1. Idea or Patent","We invest mostly, but not exclusively, in founders outside of major tech hubs (SF, NY, MA) building a software product with a unique or clearly repeatable customer acquisition strategy or building a physical product in a vertical that has lacked innovation in 10+ years. This is because these two founders are out-of-the-box thinkers and problem solvers.",VC,$25000,$250000
RATP Capital Innovation,https://www.ratp.fr/ratpci,France,France,3. Early Revenue,,Corporate VC,,
Raven Indigenous Capital Partners,https://ravencapitalpartners.ca/index.php,,,,,Other,,
Raven Ventures Australia,https://www.ravenventures.com.au,Australia,Australia,,,VC,$2000000,
RBC Venture Partners,http://www.rbc.com/vp,"Toronto, Ontario, Canada",Canada,,,Corporate VC,,
RD2 Capital,http://rd2capital.com/,"237 Allée des Peupliers 59710 Mérignies, France",France,,,Other,,
RDC Rafael Development Corporation,https://rdc.co.il/,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
Re-Pie,http://re-pie.com/,Uniq İstanbul Huzur Mah. Maslak Ayazağa Cad. No:4/C No:107 34485 Sarıyer / İstanbul Turkey,Turkey,"5. Growth,4. Scaling,3. Early Revenue,6. Pre-IPO","We invest in companies that provide technological solutions in cutting-edge innovation and technology industries.

Our fund aims to become a partner of multiple companies that have technology and innovation-oriented business models with high growth potential through capital or share transfer.",PE fund,$50000,$500000
Reaktor Ventures,http://www.reaktor.fi/,,,,,Other,,
Real Estate Technology Ventures,https://www.ret.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
Real-Life Innovations,https://www.reallifeinnovations.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Realist Ventures,https://www.realistventures.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Reapra,https://reapra.com/,Singapore,Singapore,3. Early Revenue,,VC,,
Rebel Ventures,https://rblventures.com/,,,,,VC,,
Recharge Capital,http://rechargecapital.com,"New York, New York, United States",USA,,,Family office,,
Reciprocal Ventures,https://recvc.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Recruit Strategic Partners,https://recruitstrategicpartners.com/,,,"5. Growth,6. Pre-IPO",,VC,,
Red & Blue Ventures,http://www.redandblue.vc/,,,,,VC,,
Red Apple Group,http://ragny.com/,"New York, New York, United States",USA,,,Family office,,
Red Bear Angels,http://rbangels.com,,,,,VC,,
Red Bike Capital,https://redbikecapital.com/,"45 West 60th St New York, NY United States",USA,"2. Prototype,3. Early Revenue,4. Scaling","We invest in US-based, early stage startups in Fintech, Ecommerce Enablement and Marketplaces, and ConsumerTech
",VC,$25000,$500000
Red Cedar Ventures,https://www.msufoundation.org/redcedarventures/,,,"2. Prototype,3. Early Revenue",,VC,,
Red Dog Capital,http://www.reddogcap.com,,,,,VC,,
Red Dot Capital Partners,https://red-dot.capital/,,UK,"4. Scaling,5. Growth",,VC,,
Red Dot Ventures,http://reddotventures.com/,Singapore,Singapore,2. Prototype,,VC,$25000,
Red River West,https://www.redriverwest.com/,France,"France,USA","3. Early Revenue,4. Scaling",,VC,$5000000,
Red Sea Ventures,http://www.redseaventures.com,,,,,VC,,
Red Swan Ventures,http://redswan.vc,,,"2. Prototype,3. Early Revenue",,VC,,
Redalpine Capital,https://redalpine.com/,Switzerland,USA,3. Early Revenue,,VC,,
Redhills Ventures,http://redhillsventures.com/#team,USA,USA,3. Early Revenue,,VC,,
Redline Capital,https://www.redline-capital.com/,UK,"USA,Israel,Canada,UK",3. Early Revenue,,VC,$5000000,
Redmile Group,http://redmilegroup.com/,,USA,,,Other,,
Redpoint China Ventures,http://www.rpvchina.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Redpoint Ventures,https://www.redpoint.com/,"Menlo Park, California, United States",USA,,,VC,,
RedSeed Ventures,http://www.redseed.it/,Italy,Italy,3. Early Revenue,,VC,,
Redwood Ventures,https://www.redwood.ventures,"Blvrd Puerta de Hierro 5200, 45116 Guadalajara Jal. México","Mexico,USA,Colombia,Argentina,Chile,Peru","3. Early Revenue,4. Scaling,1. Idea or Patent","We invest in startups that achieve with at least one of these axes:  
- Validated and iterated product or service. 
- Recurring customers and relevant market size. 
- Exclusive competitive advantages
- Accounting profit (preferably)

We are an industry-agnostic venture capital fund that seeks to invest in the early stages of technology-based startups. ",VC,$300000,$1500000
Refinery,https://refinery.com/,,,,,VC,,
Reflexion Capital,https://www.reflexion.capital/,"183 rue de la pompe, 75116 Paris, France","France,Belgium,Switzerland","5. Growth,4. Scaling,3. Early Revenue",We invest 1 to 3 M eur tickets in entrepreneurs willing to do profitable growth in B2B tech.,VC,$1000000,$3000000
Regal Funds Management,https://www.regalfm.com/site/content/,Australia,Australia,,,Other,,
Reinvent VC,https://re-invent.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
Reinventure Group by Westpac Banking,https://reinventure.com.au/,"Sydney, New South Wales, Australia",Australia,,,Corporate VC,,
Reliance Venture Asset Management,http://www.relianceventure.com/,"Mumbai, Maharashtra, India",India,,,Corporate VC,,
Remagine Ventures,https://remagineventures.com/,"Rothschild Blvd. 45, 6th floor, Tel Aviv, Israel 6578403, IL","Israel,UK,USA","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in early-stage companies at the intersections of tech, interactive entertainment, gaming, and commerce with a spotlight on Israel. ",VC,$250000,$1500000
Rembrandt Venture Partners,https://rembrandtvc.com/,"San Francisco, California, United States",USA,,,Other,,
Remiges Ventures,https://www.remigesventures.com/,,,,,VC,,
Renaissance Venture Capital Fund,https://www.renvcf.com/,,,,,VC,,
Render Capital,https://render.capital/,"821 E Market Street, Louisville, Kentucky 40206",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in the Midwest. We are smart investors who take early risks.,VC,$100000,$350000
Renegade Partners,https://www.renegadepartners.com/,,,"3. Early Revenue,4. Scaling",,VC,,
RenewableTech Ventures,http://www.renewablevc.com/,,,,,VC,,
Reno Seed Fund,https://www.renoseedfund.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Repsol Energy Ventures,https://www.repsol.com/en/energy-and-innovation/corporate-venturing/team/index.cshtml,"Madrid, Madrid, Spain","USA,Israel,Canada,Spain",3. Early Revenue,,Corporate VC,,
Republic,https://republic.co,,,"2. Prototype,3. Early Revenue",,Other,,
Reservoir Capital Group,https://www.reservoircap.com/guest/index.html,,USA,,,Other,,
Resilience Capital Ventures,https://www.resiliencecapitalventures.com/,,,,,VC,,
Resolute Capital Partners,https://resolutecap.com/,,,,,VC,,
Resona Capital,http://www.resona-gr.co.jp/resonacapital/,,Japan,,,VC,,
Resonant Venture Partners,http://www.resonantvc.com,,,,,VC,,
Relentless Pursuit Partners,https://www.relentlesspursuitpartners.com/,,,,,VC,,
Rethink Capital Partner,https://rethink.vc/,"White Plains, New York, United States",USA,,,Other,,
Rethink Impact,http://rethinkimpact.com/,,,"2. Prototype,3. Early Revenue",,VC,,
REV by Relx Group,http://rev.vc/,"London, England, United Kingdom","USA,Israel,Australia",3. Early Revenue,,Corporate VC,$1000000,
Rev by Venturecraft,http://www.venturecraft.vc/,Singapore,Singapore,3. Early Revenue,,VC,,
Rev1 Ventures,http://www.rev1ventures.com,"Columbus, Ohio, United States",USA,,,Corporate VC,,
Revel Partners,http://www.revelpartners.com,,,,,VC,,
Revelis Capital Group,https://www.reveliscapitalgroup.com/,"Denver, Colorado, United States",USA,,,Family office,,
Revo Capital,https://www.revo.vc/,"Amsterdam, Netherlands ","Turkey,Estonia,Lithuania,Latvia,Poland,Greece,Serbia,Romania,Bulgaria,Ukraine,Hungary,Croatia,Slovakia,Slovenia,Moldova","5. Growth,4. Scaling,3. Early Revenue","We invest in truly innovative, early-stage B2B or B2C technology ventures in Turkey, Eastern Europe & Baltics with €100k+ MRR, an impressive growth trajectory, veteran founders and a scalable, global vision.",VC,$500000,$7500000
Revolution,https://www.revolution.com/,"Washington, District of Columbia, United States",USA,,,Other,,
RevTech Ventures,https://revtechventures.com/,"311 N Market St, Suite #200, Dallas, TX 75202, USA","USA,Canada","3. Early Revenue,2. Prototype","We invest in brands and retail technologies creating the future of retail. Specifically, we look for:

1. BREAK-THROUGH TECHNOLOGY OR CONCEPT: Product leverages technology to solve a major pain point, creates a new business model, or caters to an under-served market in the retail industry

2. STRONG TEAM WITH DOMAIN EXPERTISE: Relevant industry and functional expertise from collective team that reflect the core tenets of teamwork and leadership

3. CUSTOMER VALIDATION: Pilot or customer already underway with clear results and feedback

4. STRATEGIC FIT: RevTech can add significant value as a partner beyond our financial investment",VC,$100000,$250000
RevUp Capital,https://www.revupfund.com/,,,,,Other,,
Rewired,https://rewired.com,Switzerland,USA,3. Early Revenue,,VC,,
"Reynders, McVeigh Capital Management",https://www.reyndersmcveigh.com,,,,,VC,,
Rho Capital Partners,https://www.rho.com/,"New York, New York, United States","USA,Canada",3. Early Revenue,,VC,,
Ribbit Capital,https://ribbitcap.com/,"Palo Alto, California, United States",USA,,,Other,,
Ribbon Biolabs,https://ribbonbiolabs.com/,Austria,USA,,,VC,,
Richmond Global Ventures,https://www.rglobalventures.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Rida Capital,http://www.ridacapital.com,,,,,VC,,
Ridge Ventures,https://ridge.vc/,"San Francisco, California, United States",USA,,,Other,,
Right Click Capital,https://www.rightclickcapital.com/,Australia,Australia,,,VC,,
Rimonim Venture Capital,http://rimonimfund.com/,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
RimRock Capital Management,http://www.rimrockcapital.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Rincon Venture Partners,http://www.rinconvp.com/,,,,,VC,,
Ring Capital,http://www.ringcp.com/home,"2 rue Favart, 75002 Paris",France,5. Growth,We invest by acquiring minority interests of 3M€ to 15M€ in tech and digital companies with an annual turnover of minimum 5M€  to help them grow and scale through internationalisation and external growth. ,VC,$3500000,$18000000
Ringier Digital Ventures,http://www.ringier.com/en/about-ringier/activities/ventures,"Zürich, Zurich, Switzerland",Switzerland,,,Corporate VC,,
Ringleader Ventures,http://www.ringleaderventures.com,"Elmhurst, Illinois, United States",USA,,,Corporate VC,,
Rio Grande Valley Angel Network,http://rgvan.org/,,,,,Angel network,,
Rise Capital,http://risecapital.com/,,,,,VC,,
Rittenhouse Ventures,http://rittenhouseventures.com/,,,,,VC,,
Rivas Capital,http://www.rivascap.com,"Cambridge, Massachusetts, United States",USA,,,Family office,,
River Cities Capital,http://rccf.com,USA,USA,,,VC,$5000000,
River Valley Investors,http://www.rivervalleyinvestors.com/,,,,,Angel network,,
Riverfront Ventures,https://www.riverfrontventures.com/,,,,,VC,,
RiverPark Ventures,https://riverparkvc.com/,"156 W 56th Street, New York, NY 10019, United States",USA,"3. Early Revenue,4. Scaling","We invest in the future of enterprise technology and the evolution of consumer behavior.

RiverPark Ventures is an early-stage, industry-agnostic venture capital fund.",VC,$500000,$1000000
Rivers Capital Partners,http://www.riverscap.com/about/about-us/,UK,UK,3. Early Revenue,,VC,$50000,
Riverside Ventures,https://www.riversideventures.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Riverwood Capital,https://www.riverwoodcapital.com/,USA,"Canada,USA",4. Scaling,"We invest in technology and technology-related businesses, with large market opportunities and proven business models, which can accelerate growth if provided the necessary capital and support.

We seek these opportunities on a global basis, with particular emphasis on North America, Latin America and other select emerging markets.",VC,$25000000,$125000000
Rivet Ventures,http://www.rivetventures.com/,,,"3. Early Revenue,4. Scaling",,VC,,
Rizvi Traverse,http://www.rizvitraverse.com/,,,,,Other,,
Concept Ventures,https://www.conceptventures.vc/,"91-93 Buckingham Palace Road, London, SW1W 0RP",UK,"2. Prototype,3. Early Revenue","We invest in UK-based software companies with a global approach from day 1 changing the worlds of work, play and finance. ",VC,$350000,$750000
Robbins Venture Capital,https://robbinsvc.com/,"Elizabethtown, Kentucky, United States",USA,,,Family office,,
Robert Bosch Venture Capital,http://www.rbvc.com,"Stuttgart, Baden-Wurttemberg, Germany","China,USA,Israel,UK,Germany,France,Netherlands,Austria,Belgium,Denmark,Finland,Ireland,Luxembourg,Norway,Spain,Portugal,Sweden,Switzerland","3. Early Revenue,4. Scaling","RBVC invests worldwide in innovative start-up companies at all stages of their development. Its investment activities focus on technology companies working in areas of business of current and future relevance for Bosch, above all, automation and electrification, energy efficiency, enabling technologies, and healthcare systems.",Corporate VC,$500000,$10000000
Robin Hood Ventures,http://www.robinhoodventures.com/,,,,,Angel network,,
Roca X,https://rocax.ro/ ,"Gara Herastrau 4C. Bucharest, Romania","Romania,Israel,Poland,Czech Republic,UK,Bulgaria,Hungary,Spain,Portugal,France,Germany,Italy","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage startups across Europe and Israel, we are industry-agnostic and have a preference for early traction or scaling stage companies ",VC,$50000,$550000
Roche Venture Fund,https://www.roche.com/venturefund.htm,"Basel, Basel-Stadt, Switzerland","USA,Switzerland",3. Early Revenue,,Corporate VC,$3000000,
Rochester Angel Network,http://www.rochesterangels.com/,,,,,Angel network,,
Rock Health,https://rockhealth.com/,USA,USA,3. Early Revenue,,VC,,
Rockies Venture Club,http://rockiesventureclub.org/,,,,,Angel network,,
RockPort Capital,https://www.rockportcap.com/,"Boston, Massachusetts, United States",USA,,,Other,,
Rockstart,https://www.rockstart.com/,,,,,Other,,
Rockwood Equity,https://www.rockwoodequity.com/,USA,USA,3. Early Revenue,,VC,,
Romulus Capital,https://romuluscap.com/,"101 Arch Street, Boston, MA 02110, US","UK,USA,India","3. Early Revenue,4. Scaling","We invest in Seed - Series B rounds, mainly as lead investors, for B2B companies within two categories:

Companies selling technology to solve real problems in large traditional industries (e.g., agriculture, construction, energy, retail, real estate).

Deep technology companies that have spun out of top-tier research groups (e.g., MIT, Harvard, Cambridge, Stanford, SRI, Draper).",VC,$100000,$10000000
Rondo Ventures,https://www.rondoventures.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Rookie Fund,https://rookie.fund/,,,"2. Prototype,3. Early Revenue",,VC,,
Rooks Nest Ventures,http://www.rooksnestventures.com/,,,,,Other,,
Root Capital,https://rootcapital.org/,,,,,Other,,
Root Ventures,https://www.root.vc/#home-section,USA,USA,2. Prototype,,VC,$500000,
Rose Tech Ventures,http://www.rose.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
Rosecliff Ventures,https://rosecliff.com/,"767 5th Ave, New York, New York 10022, US",USA,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in USA-based companies,VC,$100000,$4000000
Rosenthal Retirement Planning,http://www.rrp.com,"Fort Worth, Texas, United States",USA,,,Family office,,
Rothenberg Ventures,https://rothenbergventures.com/,"San Francisco, California, United States",USA,3. Early Revenue,,VC,,
Rotterdam Port Fund,https://www.rotterdamportfund.com/,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
Rough Draft Ventures,https://www.roughdraft.vc/,,USA,,,Other,,
Round Hill Ventures,https://www.roundhill.ventures/,,UK,,,VC,,
Router Ventures,http://www.routerventures.com/,,,,,VC,,
Royal Street Ventures,https://www.royalstreet.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
RRE Ventures,https://rre.com/,"New York, New York, United States","USA,Canada",3. Early Revenue,,VC,,
RSC Capital,http://www.rsccapital.com/,,,,,VC,,
RSF Social Finance,https://rsfsocialfinance.org/,,,,,VC,,
RTA Ventures,http://www.rtaventures.com/,Poland,"Poland,France",3. Early Revenue,,VC,,
RTL Ventures,http://www.rtlventures.nl/,"Hilversum, Noord-Holland, The Netherlands",Netherlands,,,Corporate VC,,
RTP Capital Associates,http://www.rtpcapital.org/,,,,,Angel network,,
RTP Ventures,https://rtp.vc/,,USA,,,Other,,
Rubicon VC,http://rubicon.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
Rubio Impact Ventures,https://www.rubio.vc/news/,,"Netherlands,UK",,,VC,,
Rudyard Partners,http://rudyardpartners.com,"Concord, Massachusetts, United States",USA,,,Family office,,
RueOne Investments,https://www.rueone.com/,USA,USA,3. Early Revenue,,VC,,
Ruffena Capital,https://www.ruffena.co.uk/,UK,"USA,UK",3. Early Revenue,,VC,,
Runa Capital,http://www.runacap.com/,Luxembourg,"Canada,USA,Bulgaria,Finland,France,Germany,Greece,Lithuania,Netherlands,Poland,Romania,Spain,Sweden,Switzerland,UK,Ukraine","3. Early Revenue,4. Scaling","We invest in 3 target areas:
- enterprise software/cloud business software
- deep tech (AI/ML, open-source, middleware, quantum computing, etc.)
- software for regulated industries (fintech, edtech, digital health).

We invest in deep tech (AI, machine learning, middleware, open-source), cloud business software, fintech, edtech, and digital health startups in the early stages.",VC,$1000000,$10000000
Rustic Canyon Partners,http://www.rusticcanyon.com/,"Santa Monica, California, United States",USA,,,Other,,
Ruvento,http://www.ruvento.com/,Singapore,USA,2. Prototype,,VC,,
RVC InfraFund,http://www.rvcinfra.com/en/,"Moscow, Moscow City, Russian Federation",Russia,,,Corporate VC,,
Ryall Energy Family Office,https://www.ryallenergy.com/,,France,,,Family office,,
S Capital VC,https://scapitalvc.com/,,,"2. Prototype,3. Early Revenue",,VC,,
S2G Ventures,http://www.s2gventures.com,,,,,VC,,
Saama Capital Advisors,https://www.saamacapital.vc/,,India,,,Other,,
SaaS Ventures,https://www.saasventurecapital.com/,"7920 Norfolk Ave, #1150, Bethesda, MD, 20814","USA,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in B2B, enterprise-focused, recurring revenue (pure SaaS, transactional, marketplaces) startups based outside of Tier 1 markets (SF, NY, Boston). ",VC,$200000,$350000
SaaStr Fund,https://coda.io/@jasonmlemkin/saastrfund,"255 Kansas Street, Suite 300, San Francisco CA 94103, USA",USA,"3. Early Revenue,4. Scaling","We invest in B2B/B2D/SaaS.  i.e., only business software and APIs and tools than enable the building of software.  We don’t invest in consumer start-ups, or subscription services that have elements of recurring revenue but are not primarily software products. 

SaaStr Fund invests in 4-5 awesome SaaS start-ups a year, generally in the $0.1m to $2m ARR range.  Before $10k MRR is usually a bit too early for us, and after $2m ARR or so is usually a bit late and Series A.

Pre-revenue is too early.  We can only invest if you have at least 10 Unaffiliated Customers, and ideally, $10k+ or more in MRR.

We invest in founders that are a part of the SaaStr community.  That’s probably you if you got here :). But if you’ve never heard of SaaStr, never read a SaaStr post, heard our podcast, or been to one of our events ... there are probably better sources of capital.

We are OK with startups based anywhere in the world (SaaS has flattened), but prefer folks that come to Bay Area frequently.  It does make it easier to recruit, fundraise, partner, etc.  At least in normal times.  ",VC,$500000,$4000000
Saatchinvest,http://www.saatchinvest.co.uk/,,,,,VC,,
Saba Investments,https://sabavc.com/,,,,,Angel network,,
Sabadell Venture Capital,https://sabadellventurecapital.com,"Barcelona, Catalonia, Spain",Spain,3. Early Revenue,,Corporate VC,$200000,
Saban Capital,https://www.saban.com/,,,,,Other,,
Saban Ventures,https://www.sabanventures.com/,USA,"USA,Israel",3. Early Revenue,,Corporate VC,,
Sacramento Angels,http://www.sacangels.com/,,,,,Angel network,,
Sadot Innovation,http://www.sadot-i.com,,,"2. Prototype,3. Early Revenue",,VC,,
Safar Partners,https://www.safar.partners/,"One Broadway, 14th floor,  Cambridge, MA 02142, USA",USA,"2. Prototype,3. Early Revenue,4. Scaling","We invest in technology spinouts out of MIT, Harvard, and the University of Rochester",VC,$100000,$20000000
Safeguard Scientifics,http://www.safeguard.com/,,,,,VC,,
Safer Made,http://www.safermade.net,,,,,VC,,
Safran Corporate Ventures,https://www.safran-group.com/company/safran-corporate-ventures,"Paris, Ile-de-France, France","USA,France","3. Early Revenue,4. Scaling",,Corporate VC,$1000000,
Sage Growth Capital,https://www.sagegrowthcapital.com/,,,,,Angel network,,
SAIC Venture Capital,https://saicvc.com/,"Las Vegas, Nevada, United States",USA,,,Corporate VC,,
Saif Partners,http://www.saifpartners.com/,,"India,China,Hong Kong",,,Other,,
Sailing Capital,http://www.sailing-capital.com.hk/,Hong Kong,"USA,Israel,Canada",3. Early Revenue,,VC,,
Salesforce Ventures,https://www.salesforce.com/ventures/,"1 Market, San Francisco, CA 94105, US","USA,Australia,UK,Japan,France,India,Germany,Israel,Canada,Spain,Netherlands,Switzerland,Finland,New Zealand","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in the leading enterprise cloud software (B2B) companies from Series A to IPO globally.,Corporate VC,$1000000,$100000000
Saltagen Ventures​,https://www.saltagen.com/,,Hong Kong,,,VC,,
Samaipata,https://samaipata.vc/,"Calle Velázquez 18 Piso 2º Izquierda, Madrid, Madrid 28001, ES","Spain,France,Germany,Portugal,UK,Italy","3. Early Revenue,2. Prototype","We invest in digital platforms displaying increasing returns at scale, across Europe. Samaipata is an early-stage founders’ fund.",VC,$500000,$2000000
Saman Ventures,http://saman-ventures.com/,Austria,Austria,3. Early Revenue,,VC,,
Samrat Investments,https://www.samratfinancialbanking.com/funding,"Manali, Himachal Pradesh, India",India,,,Corporate VC,,
Samsung Catalyst Fund,https://samsungcatalyst.com/,"2480 Sand Hill Rd, Suite 101, Menlo Park, California 94025, US","USA,Israel,Canada,South Korea,France,Germany","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in mid-stage startups in AI, cloud infrastructure, next-gen data centers, and semiconductors located in North America, Europe and Israel. ",Corporate VC,$3000000,$5000000
Samsung Ventures,http://www.samsungventures.com,"Seoul, Seoul-t'ukpyolsi, South Korea","USA,South Korea","3. Early Revenue,4. Scaling",,Corporate VC,,
Samurai Incubate,http://www.samurai-incubate.asia/?lc=en,,Japan,,,VC,,
Samurai Incubate Israel,https://www.samurai-incubate-israel.asia/,,,"2. Prototype,3. Early Revenue",,VC,,
Samyakth Capital,http://samyakthcapital.com/,"1106, Marathon Icon, Lower Parel West, Mumbai, Maharashtra - 400013, India",India,"3. Early Revenue,2. Prototype",We invest in all areas (Sector agnostic),VC,$25000,$200000
San Diego Angel Conference,https://www.sandiego.edu/sdac/,,,,,Angel network,,
Sand Hill Angels,http://www.sandhillangels.com/,,,,,Angel network,,
Sandalphon Capital,http://sandalphoncapital.com/,,USA,,,Other,,
Sands Capital Venture,https://sandscapitalventures.com/,USA,USA,3. Early Revenue,,VC,,
Sandusky Ventures,http://www.sanduskyventures.com,"Austin, Texas, United States",USA,,,Corporate VC,,
Sangam Ventures,https://www.sangam.vc/,India,India,3. Early Revenue,,VC,,
Sankonline,http://www.sankonline.com/,"Istanbul, Istanbul, Turkey",Turkey,,,Corporate VC,,
Sanofi Ventures,http://sanofiventures.com/,France,"USA,France",3. Early Revenue,,Corporate VC,,
Sanofi-Genzyme BioVentures,http://sanofigenzymebioventures.com,"Cambridge, Massachusetts, United States",USA,,,Corporate VC,,
Sansei Capital,http://www.sanseicapital.com/,,Japan,,,VC,,
Santander InnoVentures,https://santanderinnoventures.com/,"London, England, United Kingdom","UK,USA",3. Early Revenue,,Corporate VC,,
SAP.io Fund,https://sap.io/fund,"Newtown Square, Pennsylvania, United States","USA,Israel,Canada",3. Early Revenue,,Corporate VC,,
Sapien Ventures,http://www.sapienventures.vc/,Australia,"Australia,USA,China",,,VC,$500000,
Sapir Venture Partners,https://sapirvp.com,"Jerusalem, Israel 7312700, IL","Israel,USA","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Israeli founders commercializing deep-tech and cutting-edge science in Boston, New York, and Israel, at the earliest stages through to Seed+.",VC,$100000,$1000000
Sares Regis Multifamily Funds,https://srgfunds.com/,"Newport Beach, California, United States",USA,,,Family office,,
Sarona Asset Management,https://www.saronafund.com/,,,,,Other,,
Sarona Ventures,https://sarona.vc/,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
Saskatchewan Capital Network,http://www.saskcapitalnetwork.com/,,,,,Angel network,,
Satgana,https://satgana.com/,"Luxembourg City, LU","Kenya,Nigeria,South Africa,India,Belgium,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,UK","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in mission-driven entrepreneurs that build technology solutions to the climate & ecological crisis.,VC,$25000,$500000
Saudi Aramco Energy Ventures,http://www.saev.com,"Dhahran, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,,,Corporate VC,,
Saudi Aramco Entrepreneurship Ventures,https://waed.net/en/home.html,"Dhahran, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,,,Corporate VC,,
SB Investment Partners,http://sbipfo.com,"Boston, Massachusetts, United States",USA,,,Family office,,
SC Ventures Fintech Bridge by Standard Chartered,https://fintechbridge.scventures.io/public/homepage,UK,"USA,Israel,Canada,UK",3. Early Revenue,,Corporate VC,,
Scale Investors,https://scaleinvestors.com.au/,Australia,Australia,,,VC,$250000,
Scaleup Mediafund,https://scaleupmediafund.com/,Australia,Australia,,,Other,$500000,
ScaleX Ventures,https://www.scalexventures.com/,"Jan van Goyenkade 8, 1075HP Amsterdam, the Netherlands","Turkey,France,Greece,Hungary,Slovakia,Slovenia,Germany,Czech Republic,Poland,Spain,Italy,USA,UK,Estonia,Lithuania,Austria,Belgium,Bosnia-H,Bulgaria,Croatia","3. Early Revenue,4. Scaling,5. Growth",We invest in early-stage technology companies with the potential to be industry-defining in areas including Deep Tech and B2B SaaS.,VC,$250000,$2500000
Scania Growth Capital,http://www.scania.com/group/en/section/innovation/scania-growth-capital/,"Södertälje, Vasternorrlands Lan, Sweden",Sweden,,,Corporate VC,,
SCGC Shenzhen Capital Group,http://www.szvc.com.cn/english/Home/index.shtml,,China,,,Other,,
Schema Capital,https://www.schema.capital/,,,"2. Prototype,3. Early Revenue",,VC,,
Schibsted Growth,https://schibsted.com/about/who-we-are/next/,,France,"3. Early Revenue,4. Scaling",,Corporate VC,$2000000,
Science Creates Ventures,https://sciencecreates.co.uk/,,UK,,,VC,,
ScienceVest,https://www.sciencevest.com/,"San Francisco, CA, USA","USA,Canada",2. Prototype,"We invest in science and frontier-tech companies with the potential to impact 1 Million or more lives. Companies raising first institutional capital, sub-$5M valuation, with go-to-markets addressing key metrics from the UN Sustainable Development Goals.  ",VC,$50000,$250000
Scientipole Capital,https://scientipolecapital.fr/,France,France,3. Early Revenue,,VC,$100000,
